"Time","image-stats-746c9bfb67-2sr2g"
2025-07-07 13:49:32,35.1 MiB
2025-07-07 13:49:33,35.1 MiB
2025-07-07 13:49:34,35.1 MiB
2025-07-07 13:49:35,35.1 MiB
2025-07-07 13:49:36,35.1 MiB
2025-07-07 13:49:37,35.1 MiB
2025-07-07 13:49:38,35.1 MiB
2025-07-07 13:49:39,35.1 MiB
2025-07-07 13:49:40,35.1 MiB
2025-07-07 13:49:41,35.1 MiB
2025-07-07 13:49:42,35.1 MiB
2025-07-07 13:49:43,35.1 MiB
2025-07-07 13:49:44,35.2 MiB
2025-07-07 13:49:45,35.2 MiB
2025-07-07 13:49:46,35.2 MiB
2025-07-07 13:49:47,35.2 MiB
2025-07-07 13:49:48,35.2 MiB
2025-07-07 13:49:49,35.2 MiB
2025-07-07 13:49:50,35.2 MiB
2025-07-07 13:49:51,35.2 MiB
2025-07-07 13:49:52,35.2 MiB
2025-07-07 13:49:53,35.2 MiB
2025-07-07 13:49:54,35.2 MiB
2025-07-07 13:49:55,35.2 MiB
2025-07-07 13:49:56,35.2 MiB
2025-07-07 13:49:57,35.8 MiB
2025-07-07 13:49:58,35.8 MiB
2025-07-07 13:49:59,35.8 MiB
2025-07-07 13:50:00,35.8 MiB
2025-07-07 13:50:01,35.8 MiB
2025-07-07 13:50:02,35.8 MiB
2025-07-07 13:50:03,35.8 MiB
2025-07-07 13:50:04,35.8 MiB
2025-07-07 13:50:05,35.8 MiB
2025-07-07 13:50:06,35.8 MiB
2025-07-07 13:50:07,35.8 MiB
2025-07-07 13:50:08,35.8 MiB
2025-07-07 13:50:09,35.8 MiB
2025-07-07 13:50:10,35.9 MiB
2025-07-07 13:50:11,35.9 MiB
2025-07-07 13:50:12,35.9 MiB
2025-07-07 13:50:13,35.9 MiB
2025-07-07 13:50:14,35.9 MiB
2025-07-07 13:50:15,35.9 MiB
2025-07-07 13:50:16,35.9 MiB
2025-07-07 13:50:17,35.9 MiB
2025-07-07 13:50:18,35.9 MiB
2025-07-07 13:50:19,35.9 MiB
2025-07-07 13:50:20,35.9 MiB
2025-07-07 13:50:21,35.9 MiB
2025-07-07 13:50:22,35.9 MiB
2025-07-07 13:50:23,35.9 MiB
2025-07-07 13:50:24,35.9 MiB
2025-07-07 13:50:25,35.9 MiB
2025-07-07 13:50:26,35.9 MiB
2025-07-07 13:50:27,35.9 MiB
2025-07-07 13:50:28,35.9 MiB
2025-07-07 13:50:29,36.0 MiB
2025-07-07 13:50:30,36.0 MiB
2025-07-07 13:50:31,36.0 MiB
2025-07-07 13:50:32,36.0 MiB
2025-07-07 13:50:33,36.0 MiB
2025-07-07 13:50:34,36.0 MiB
2025-07-07 13:50:35,36.0 MiB
2025-07-07 13:50:36,36.0 MiB
2025-07-07 13:50:37,36.0 MiB
2025-07-07 13:50:38,36.0 MiB
2025-07-07 13:50:39,36.0 MiB
2025-07-07 13:50:40,36.0 MiB
2025-07-07 13:50:41,36.0 MiB
2025-07-07 13:50:42,36.0 MiB
2025-07-07 13:50:43,36.0 MiB
2025-07-07 13:50:44,36.0 MiB
2025-07-07 13:50:45,36.0 MiB
2025-07-07 13:50:46,36.1 MiB
2025-07-07 13:50:47,36.1 MiB
2025-07-07 13:50:48,36.1 MiB
2025-07-07 13:50:49,36.1 MiB
2025-07-07 13:50:50,36.1 MiB
2025-07-07 13:50:51,36.1 MiB
2025-07-07 13:50:52,36.1 MiB
2025-07-07 13:50:53,36.1 MiB
2025-07-07 13:50:54,36.1 MiB
2025-07-07 13:50:55,36.1 MiB
2025-07-07 13:50:56,36.1 MiB
2025-07-07 13:50:57,36.1 MiB
2025-07-07 13:50:58,36.1 MiB
2025-07-07 13:50:59,36.1 MiB
2025-07-07 13:51:00,36.1 MiB
2025-07-07 13:51:01,36.1 MiB
2025-07-07 13:51:02,36.1 MiB
2025-07-07 13:51:03,36.1 MiB
2025-07-07 13:51:04,36.0 MiB
2025-07-07 13:51:05,36.0 MiB
2025-07-07 13:51:06,36.0 MiB
2025-07-07 13:51:07,36.0 MiB
2025-07-07 13:51:08,36.0 MiB
2025-07-07 13:51:09,36.0 MiB
2025-07-07 13:51:10,36.0 MiB
2025-07-07 13:51:11,36.0 MiB
2025-07-07 13:51:12,36.0 MiB
2025-07-07 13:51:13,36.0 MiB
2025-07-07 13:51:14,36.0 MiB
2025-07-07 13:51:15,36.0 MiB
2025-07-07 13:51:16,36.0 MiB
2025-07-07 13:51:17,36.0 MiB
2025-07-07 13:51:18,36.0 MiB
2025-07-07 13:51:19,36.0 MiB
2025-07-07 13:51:20,36.0 MiB
2025-07-07 13:51:21,36.0 MiB
2025-07-07 13:51:22,36.0 MiB
2025-07-07 13:51:23,36.0 MiB
2025-07-07 13:51:24,36.0 MiB
2025-07-07 13:51:25,36.0 MiB
2025-07-07 13:51:26,36.0 MiB
2025-07-07 13:51:27,36.0 MiB
2025-07-07 13:51:28,36.0 MiB
