"Time","image-stats-746c9bfb67-bzkw5"
2025-07-08 14:18:40,36.4 MiB
2025-07-08 14:18:42,36.4 MiB
2025-07-08 14:18:44,36.4 MiB
2025-07-08 14:18:46,36.4 MiB
2025-07-08 14:18:48,36.4 MiB
2025-07-08 14:18:50,36.4 MiB
2025-07-08 14:18:52,36.4 MiB
2025-07-08 14:18:54,36.4 MiB
2025-07-08 14:18:56,36.4 MiB
2025-07-08 14:18:58,36.4 MiB
2025-07-08 14:19:00,36.4 MiB
2025-07-08 14:19:02,36.4 MiB
2025-07-08 14:19:04,36.4 MiB
2025-07-08 14:19:06,36.4 MiB
2025-07-08 14:19:08,36.4 MiB
2025-07-08 14:19:10,36.4 MiB
2025-07-08 14:19:12,36.4 MiB
2025-07-08 14:19:14,36.4 MiB
2025-07-08 14:19:16,36.4 MiB
2025-07-08 14:19:18,36.4 MiB
2025-07-08 14:19:20,36.4 MiB
2025-07-08 14:19:22,36.4 MiB
2025-07-08 14:19:24,36.4 MiB
2025-07-08 14:19:26,36.4 MiB
2025-07-08 14:19:28,36.4 MiB
2025-07-08 14:19:30,36.4 MiB
2025-07-08 14:19:32,36.4 MiB
2025-07-08 14:19:34,36.4 MiB
2025-07-08 14:19:36,36.4 MiB
2025-07-08 14:19:38,36.4 MiB
2025-07-08 14:19:40,36.4 MiB
2025-07-08 14:19:42,36.4 MiB
2025-07-08 14:19:44,36.4 MiB
2025-07-08 14:19:46,36.4 MiB
2025-07-08 14:19:48,36.4 MiB
2025-07-08 14:19:50,36.4 MiB
2025-07-08 14:19:52,36.4 MiB
2025-07-08 14:19:54,36.4 MiB
2025-07-08 14:19:56,36.4 MiB
2025-07-08 14:19:58,36.4 MiB
2025-07-08 14:20:00,36.4 MiB
2025-07-08 14:20:02,36.4 MiB
2025-07-08 14:20:04,36.4 MiB
2025-07-08 14:20:06,36.4 MiB
2025-07-08 14:20:08,36.4 MiB
2025-07-08 14:20:10,36.4 MiB
2025-07-08 14:20:12,36.4 MiB
2025-07-08 14:20:14,36.4 MiB
2025-07-08 14:20:16,35.5 MiB
2025-07-08 14:20:18,35.5 MiB
2025-07-08 14:20:20,35.5 MiB
2025-07-08 14:20:22,35.5 MiB
2025-07-08 14:20:24,35.5 MiB
2025-07-08 14:20:26,35.5 MiB
2025-07-08 14:20:28,35.5 MiB
2025-07-08 14:20:30,35.5 MiB
2025-07-08 14:20:32,35.5 MiB
2025-07-08 14:20:34,35.5 MiB
2025-07-08 14:20:36,35.5 MiB
2025-07-08 14:20:38,35.5 MiB
2025-07-08 14:20:40,35.5 MiB
2025-07-08 14:20:42,35.5 MiB
2025-07-08 14:20:44,35.5 MiB
2025-07-08 14:20:46,35.5 MiB
2025-07-08 14:20:48,35.5 MiB
2025-07-08 14:20:50,35.5 MiB
2025-07-08 14:20:52,35.5 MiB
2025-07-08 14:20:54,35.5 MiB
2025-07-08 14:20:56,35.5 MiB
2025-07-08 14:20:58,35.5 MiB
2025-07-08 14:21:00,35.6 MiB
2025-07-08 14:21:02,35.6 MiB
2025-07-08 14:21:04,35.6 MiB
2025-07-08 14:21:06,35.6 MiB
2025-07-08 14:21:08,35.6 MiB
2025-07-08 14:21:10,35.6 MiB
2025-07-08 14:21:12,35.6 MiB
2025-07-08 14:21:14,35.6 MiB
2025-07-08 14:21:16,35.8 MiB
2025-07-08 14:21:18,35.8 MiB
2025-07-08 14:21:20,35.8 MiB
2025-07-08 14:21:22,35.8 MiB
2025-07-08 14:21:24,35.8 MiB
2025-07-08 14:21:26,35.8 MiB
2025-07-08 14:21:28,35.8 MiB
2025-07-08 14:21:30,35.8 MiB
2025-07-08 14:21:32,35.8 MiB
2025-07-08 14:21:34,35.5 MiB
2025-07-08 14:21:36,35.5 MiB
2025-07-08 14:21:38,35.5 MiB
2025-07-08 14:21:40,35.5 MiB
2025-07-08 14:21:42,35.5 MiB
2025-07-08 14:21:44,35.5 MiB
2025-07-08 14:21:46,35.5 MiB
2025-07-08 14:21:48,35.5 MiB
2025-07-08 14:21:50,35.5 MiB
2025-07-08 14:21:52,35.5 MiB
2025-07-08 14:21:54,35.5 MiB
2025-07-08 14:21:56,35.5 MiB
2025-07-08 14:21:58,35.5 MiB
2025-07-08 14:22:00,35.5 MiB
2025-07-08 14:22:02,35.5 MiB
2025-07-08 14:22:04,35.5 MiB
2025-07-08 14:22:06,35.5 MiB
2025-07-08 14:22:08,35.5 MiB
2025-07-08 14:22:10,35.3 MiB
2025-07-08 14:22:12,35.3 MiB
2025-07-08 14:22:14,35.3 MiB
2025-07-08 14:22:16,35.3 MiB
2025-07-08 14:22:18,35.3 MiB
2025-07-08 14:22:20,35.3 MiB
2025-07-08 14:22:22,35.3 MiB
2025-07-08 14:22:24,35.3 MiB
2025-07-08 14:22:26,35.3 MiB
2025-07-08 14:22:28,35.3 MiB
2025-07-08 14:22:30,35.3 MiB
2025-07-08 14:22:32,35.3 MiB
2025-07-08 14:22:34,35.3 MiB
2025-07-08 14:22:36,35.3 MiB
