"Time","{instance=""worker3"", interface=""lxc75bda36f2996""}"
2025-07-07 16:27:03,283 kB/s
2025-07-07 16:27:04,287 kB/s
2025-07-07 16:27:05,287 kB/s
2025-07-07 16:27:06,287 kB/s
2025-07-07 16:27:07,287 kB/s
2025-07-07 16:27:08,287 kB/s
2025-07-07 16:27:09,287 kB/s
2025-07-07 16:27:10,287 kB/s
2025-07-07 16:27:11,287 kB/s
2025-07-07 16:27:12,287 kB/s
2025-07-07 16:27:13,287 kB/s
2025-07-07 16:27:14,169 kB/s
2025-07-07 16:27:15,172 kB/s
2025-07-07 16:27:16,176 kB/s
2025-07-07 16:27:17,179 kB/s
2025-07-07 16:27:18,183 kB/s
2025-07-07 16:27:19,187 kB/s
2025-07-07 16:27:20,215 kB/s
2025-07-07 16:27:21,215 kB/s
2025-07-07 16:27:22,215 kB/s
2025-07-07 16:27:23,215 kB/s
2025-07-07 16:27:24,215 kB/s
2025-07-07 16:27:25,215 kB/s
2025-07-07 16:27:26,215 kB/s
2025-07-07 16:27:27,215 kB/s
2025-07-07 16:27:28,215 kB/s
2025-07-07 16:27:29,185 kB/s
2025-07-07 16:27:30,181 kB/s
2025-07-07 16:27:31,178 kB/s
2025-07-07 16:27:32,174 kB/s
2025-07-07 16:27:33,171 kB/s
2025-07-07 16:27:34,115 kB/s
2025-07-07 16:27:35,115 kB/s
2025-07-07 16:27:36,115 kB/s
2025-07-07 16:27:37,115 kB/s
2025-07-07 16:27:38,115 kB/s
2025-07-07 16:27:39,115 kB/s
2025-07-07 16:27:40,115 kB/s
2025-07-07 16:27:41,115 kB/s
2025-07-07 16:27:42,115 kB/s
2025-07-07 16:27:43,115 kB/s
2025-07-07 16:27:44,369 B/s
2025-07-07 16:27:45,377 B/s
2025-07-07 16:27:46,385 B/s
2025-07-07 16:27:47,392 B/s
2025-07-07 16:27:48,400 B/s
2025-07-07 16:27:49,408 B/s
2025-07-07 16:27:50,472 B/s
2025-07-07 16:27:51,472 B/s
2025-07-07 16:27:52,472 B/s
2025-07-07 16:27:53,472 B/s
2025-07-07 16:27:54,472 B/s
2025-07-07 16:27:55,472 B/s
2025-07-07 16:27:56,472 B/s
2025-07-07 16:27:57,472 B/s
2025-07-07 16:27:58,472 B/s
2025-07-07 16:27:59,406 B/s
2025-07-07 16:28:00,398 B/s
2025-07-07 16:28:01,390 B/s
2025-07-07 16:28:02,382 B/s
2025-07-07 16:28:03,374 B/s
2025-07-07 16:28:04,473 B/s
2025-07-07 16:28:05,473 B/s
2025-07-07 16:28:06,473 B/s
2025-07-07 16:28:07,473 B/s
2025-07-07 16:28:08,473 B/s
2025-07-07 16:28:09,473 B/s
2025-07-07 16:28:10,473 B/s
2025-07-07 16:28:11,473 B/s
2025-07-07 16:28:12,473 B/s
2025-07-07 16:28:13,473 B/s
2025-07-07 16:28:14,370 B/s
2025-07-07 16:28:15,378 B/s
2025-07-07 16:28:16,386 B/s
2025-07-07 16:28:17,394 B/s
2025-07-07 16:28:18,402 B/s
2025-07-07 16:28:19,410 B/s
2025-07-07 16:28:20,475 B/s
2025-07-07 16:28:21,475 B/s
