"Time","image-filter-cfbfd9b5f-k58vn"
2025-07-07 16:26:08,0.000854 cores
2025-07-07 16:26:09,0.000871 cores
2025-07-07 16:26:10,0.000888 cores
2025-07-07 16:26:11,0.00101 cores
2025-07-07 16:26:12,0.00101 cores
2025-07-07 16:26:13,0.00101 cores
2025-07-07 16:26:14,0.00101 cores
2025-07-07 16:26:15,0.00101 cores
2025-07-07 16:26:16,0.00101 cores
2025-07-07 16:26:17,0.00101 cores
2025-07-07 16:26:18,0.00101 cores
2025-07-07 16:26:19,0.00101 cores
2025-07-07 16:26:20,0.000890 cores
2025-07-07 16:26:21,0.000873 cores
2025-07-07 16:26:22,0.000976 cores
2025-07-07 16:26:23,0.000975 cores
2025-07-07 16:26:24,0.000975 cores
2025-07-07 16:26:25,0.000975 cores
2025-07-07 16:26:26,0.000975 cores
2025-07-07 16:26:27,0.000975 cores
2025-07-07 16:26:28,0.000975 cores
2025-07-07 16:26:29,0.000975 cores
2025-07-07 16:26:30,0.000975 cores
2025-07-07 16:26:31,0.000975 cores
2025-07-07 16:26:32,0.000975 cores
2025-07-07 16:26:33,0.000975 cores
2025-07-07 16:26:34,0.000986 cores
2025-07-07 16:26:35,0.000986 cores
2025-07-07 16:26:36,0.000854 cores
2025-07-07 16:26:37,0.000838 cores
2025-07-07 16:26:38,0.000821 cores
2025-07-07 16:26:39,0.000805 cores
2025-07-07 16:26:40,0.000789 cores
2025-07-07 16:26:41,0.000772 cores
2025-07-07 16:26:42,0.000756 cores
2025-07-07 16:26:43,0.000739 cores
2025-07-07 16:26:44,0.000756 cores
2025-07-07 16:26:45,0.000739 cores
2025-07-07 16:26:46,0.000722 cores
2025-07-07 16:26:47,0.000705 cores
2025-07-07 16:26:48,0.000688 cores
2025-07-07 16:26:49,0.000671 cores
2025-07-07 16:26:50,0.000653 cores
2025-07-07 16:26:51,0.00105 cores
2025-07-07 16:26:52,0.00105 cores
2025-07-07 16:26:53,0.00105 cores
2025-07-07 16:26:54,0.00105 cores
2025-07-07 16:26:55,0.00105 cores
2025-07-07 16:26:56,0.00101 cores
2025-07-07 16:26:57,0.00101 cores
2025-07-07 16:26:58,0.00101 cores
2025-07-07 16:26:59,0.00101 cores
2025-07-07 16:27:00,0.00101 cores
2025-07-07 16:27:01,0.00101 cores
2025-07-07 16:27:02,0.00101 cores
2025-07-07 16:27:03,0.00101 cores
2025-07-07 16:27:04,0.00101 cores
2025-07-07 16:27:05,0.000974 cores
2025-07-07 16:27:06,0.000974 cores
2025-07-07 16:27:07,0.000974 cores
2025-07-07 16:27:08,0.00101 cores
2025-07-07 16:27:09,0.00101 cores
2025-07-07 16:27:10,0.00101 cores
2025-07-07 16:27:11,0.00101 cores
2025-07-07 16:27:12,0.00101 cores
2025-07-07 16:27:13,0.00101 cores
2025-07-07 16:27:14,0.00101 cores
2025-07-07 16:27:15,0.00101 cores
2025-07-07 16:27:16,0.00101 cores
2025-07-07 16:27:17,0.00101 cores
2025-07-07 16:27:18,0.00101 cores
2025-07-07 16:27:19,0.00101 cores
2025-07-07 16:27:20,0.00101 cores
2025-07-07 16:27:21,0.00101 cores
2025-07-07 16:27:22,0.000404 cores
2025-07-07 16:27:23,0.000404 cores
2025-07-07 16:27:24,0.000404 cores
2025-07-07 16:27:25,0.000404 cores
2025-07-07 16:27:26,0.000404 cores
2025-07-07 16:27:27,0.000404 cores
2025-07-07 16:27:28,0.000404 cores
2025-07-07 16:27:29,0.000404 cores
2025-07-07 16:27:30,0.000404 cores
2025-07-07 16:27:31,0.000404 cores
2025-07-07 16:27:32,0.000404 cores
2025-07-07 16:27:33,0.000404 cores
2025-07-07 16:27:34,0.000795 cores
2025-07-07 16:27:35,0.000795 cores
2025-07-07 16:27:36,0.000795 cores
2025-07-07 16:27:37,0.000795 cores
2025-07-07 16:27:38,0.000795 cores
2025-07-07 16:27:39,0.000795 cores
2025-07-07 16:27:40,0.000795 cores
2025-07-07 16:27:41,0.000795 cores
