"Time","{instance=""worker3"", interface=""lxc75bda36f2996""}"
2025-07-07 16:26:07,925 B/s
2025-07-07 16:26:08,944 B/s
2025-07-07 16:26:09,1.11 kB/s
2025-07-07 16:26:10,1.11 kB/s
2025-07-07 16:26:11,1.11 kB/s
2025-07-07 16:26:12,1.11 kB/s
2025-07-07 16:26:13,1.11 kB/s
2025-07-07 16:26:14,1.36 kB/s
2025-07-07 16:26:15,1.36 kB/s
2025-07-07 16:26:16,1.36 kB/s
2025-07-07 16:26:17,1.36 kB/s
2025-07-07 16:26:18,1.36 kB/s
2025-07-07 16:26:19,1.36 kB/s
2025-07-07 16:26:20,1.36 kB/s
2025-07-07 16:26:21,1.36 kB/s
2025-07-07 16:26:22,1.36 kB/s
2025-07-07 16:26:23,1.36 kB/s
2025-07-07 16:26:24,1.42 kB/s
2025-07-07 16:26:25,1.42 kB/s
2025-07-07 16:26:26,1.42 kB/s
2025-07-07 16:26:27,1.42 kB/s
2025-07-07 16:26:28,1.42 kB/s
2025-07-07 16:26:29,1.21 kB/s
2025-07-07 16:26:30,1.19 kB/s
2025-07-07 16:26:31,1.17 kB/s
2025-07-07 16:26:32,1.14 kB/s
2025-07-07 16:26:33,1.12 kB/s
2025-07-07 16:26:34,1.38 kB/s
2025-07-07 16:26:35,1.38 kB/s
2025-07-07 16:26:36,1.38 kB/s
2025-07-07 16:26:37,1.38 kB/s
2025-07-07 16:26:38,1.38 kB/s
2025-07-07 16:26:39,1.38 kB/s
2025-07-07 16:26:40,1.38 kB/s
2025-07-07 16:26:41,1.38 kB/s
2025-07-07 16:26:42,1.38 kB/s
2025-07-07 16:26:43,1.38 kB/s
2025-07-07 16:26:44,1.14 kB/s
2025-07-07 16:26:45,1.17 kB/s
2025-07-07 16:26:46,1.19 kB/s
2025-07-07 16:26:47,1.21 kB/s
2025-07-07 16:26:48,1.24 kB/s
2025-07-07 16:26:49,1.45 kB/s
2025-07-07 16:26:50,1.45 kB/s
2025-07-07 16:26:51,1.45 kB/s
2025-07-07 16:26:52,1.45 kB/s
2025-07-07 16:26:53,1.45 kB/s
2025-07-07 16:26:54,1.45 kB/s
2025-07-07 16:26:55,1.45 kB/s
2025-07-07 16:26:56,1.45 kB/s
2025-07-07 16:26:57,1.45 kB/s
2025-07-07 16:26:58,1.45 kB/s
2025-07-07 16:26:59,1.25 kB/s
2025-07-07 16:27:00,1.22 kB/s
2025-07-07 16:27:01,1.20 kB/s
2025-07-07 16:27:02,1.17 kB/s
2025-07-07 16:27:03,1.15 kB/s
2025-07-07 16:27:04,1.50 kB/s
2025-07-07 16:27:05,1.50 kB/s
2025-07-07 16:27:06,1.50 kB/s
2025-07-07 16:27:07,1.50 kB/s
2025-07-07 16:27:08,1.50 kB/s
2025-07-07 16:27:09,1.50 kB/s
2025-07-07 16:27:10,1.50 kB/s
2025-07-07 16:27:11,1.50 kB/s
2025-07-07 16:27:12,1.50 kB/s
2025-07-07 16:27:13,1.50 kB/s
2025-07-07 16:27:14,1.20 kB/s
2025-07-07 16:27:15,1.22 kB/s
2025-07-07 16:27:16,1.25 kB/s
2025-07-07 16:27:17,1.27 kB/s
2025-07-07 16:27:18,1.30 kB/s
2025-07-07 16:27:19,1.32 kB/s
2025-07-07 16:27:20,1.53 kB/s
2025-07-07 16:27:21,1.53 kB/s
2025-07-07 16:27:22,1.53 kB/s
2025-07-07 16:27:23,1.53 kB/s
2025-07-07 16:27:24,1.53 kB/s
2025-07-07 16:27:25,1.53 kB/s
2025-07-07 16:27:26,1.53 kB/s
2025-07-07 16:27:27,1.53 kB/s
2025-07-07 16:27:28,1.53 kB/s
2025-07-07 16:27:29,1.31 kB/s
2025-07-07 16:27:30,1.29 kB/s
2025-07-07 16:27:31,1.26 kB/s
2025-07-07 16:27:32,1.24 kB/s
2025-07-07 16:27:33,1.21 kB/s
2025-07-07 16:27:34,1.18 kB/s
2025-07-07 16:27:35,1.18 kB/s
2025-07-07 16:27:36,1.18 kB/s
2025-07-07 16:27:37,1.18 kB/s
2025-07-07 16:27:38,1.18 kB/s
2025-07-07 16:27:39,1.18 kB/s
2025-07-07 16:27:40,1.18 kB/s
2025-07-07 16:27:41,1.18 kB/s
2025-07-07 16:27:42,1.18 kB/s
2025-07-07 16:27:43,1.18 kB/s
2025-07-07 16:27:44,461 B/s
2025-07-07 16:27:45,471 B/s
2025-07-07 16:27:46,481 B/s
2025-07-07 16:27:47,491 B/s
2025-07-07 16:27:48,501 B/s
2025-07-07 16:27:49,510 B/s
2025-07-07 16:27:50,590 B/s
2025-07-07 16:27:51,590 B/s
2025-07-07 16:27:52,590 B/s
2025-07-07 16:27:53,590 B/s
2025-07-07 16:27:54,590 B/s
2025-07-07 16:27:55,590 B/s
2025-07-07 16:27:56,590 B/s
2025-07-07 16:27:57,590 B/s
2025-07-07 16:27:58,590 B/s
2025-07-07 16:27:59,508 B/s
2025-07-07 16:28:00,498 B/s
2025-07-07 16:28:01,488 B/s
2025-07-07 16:28:02,478 B/s
2025-07-07 16:28:03,468 B/s
2025-07-07 16:28:04,483 B/s
2025-07-07 16:28:05,483 B/s
2025-07-07 16:28:06,483 B/s
2025-07-07 16:28:07,483 B/s
2025-07-07 16:28:08,483 B/s
2025-07-07 16:28:09,483 B/s
2025-07-07 16:28:10,483 B/s
2025-07-07 16:28:11,483 B/s
2025-07-07 16:28:12,483 B/s
2025-07-07 16:28:13,483 B/s
2025-07-07 16:28:14,377 B/s
2025-07-07 16:28:15,386 B/s
2025-07-07 16:28:16,394 B/s
2025-07-07 16:28:17,402 B/s
2025-07-07 16:28:18,410 B/s
2025-07-07 16:28:19,418 B/s
2025-07-07 16:28:20,484 B/s
2025-07-07 16:28:21,484 B/s
2025-07-07 16:28:22,484 B/s
2025-07-07 16:28:23,484 B/s
2025-07-07 16:28:24,484 B/s
2025-07-07 16:28:25,484 B/s
2025-07-07 16:28:26,484 B/s
2025-07-07 16:28:27,484 B/s
2025-07-07 16:28:28,484 B/s
2025-07-07 16:28:29,417 B/s
2025-07-07 16:28:30,409 B/s
