"Time","image-stats-746c9bfb67-8h4gh"
2025-07-07 16:27:36,35.5 MiB
2025-07-07 16:27:37,35.5 MiB
2025-07-07 16:27:38,35.5 MiB
2025-07-07 16:27:39,35.5 MiB
2025-07-07 16:27:40,35.5 MiB
2025-07-07 16:27:41,35.5 MiB
2025-07-07 16:27:42,35.5 MiB
2025-07-07 16:27:43,35.5 MiB
2025-07-07 16:27:44,35.5 MiB
2025-07-07 16:27:45,35.5 MiB
2025-07-07 16:27:46,35.5 MiB
2025-07-07 16:27:47,35.5 MiB
2025-07-07 16:27:48,35.5 MiB
2025-07-07 16:27:49,35.5 MiB
2025-07-07 16:27:50,35.5 MiB
2025-07-07 16:27:51,35.5 MiB
2025-07-07 16:27:52,35.5 MiB
2025-07-07 16:27:53,35.5 MiB
2025-07-07 16:27:54,35.5 MiB
2025-07-07 16:27:55,35.5 MiB
2025-07-07 16:27:56,35.5 MiB
2025-07-07 16:27:57,35.5 MiB
2025-07-07 16:27:58,35.5 MiB
2025-07-07 16:27:59,35.5 MiB
2025-07-07 16:28:00,35.5 MiB
2025-07-07 16:28:01,35.5 MiB
2025-07-07 16:28:02,35.5 MiB
2025-07-07 16:28:03,35.5 MiB
2025-07-07 16:28:04,35.5 MiB
2025-07-07 16:28:05,35.5 MiB
2025-07-07 16:28:06,35.5 MiB
2025-07-07 16:28:07,35.5 MiB
2025-07-07 16:28:08,35.5 MiB
2025-07-07 16:28:09,35.5 MiB
2025-07-07 16:28:10,35.5 MiB
2025-07-07 16:28:11,35.5 MiB
2025-07-07 16:28:12,35.5 MiB
2025-07-07 16:28:13,35.5 MiB
2025-07-07 16:28:14,35.5 MiB
2025-07-07 16:28:15,35.5 MiB
2025-07-07 16:28:16,35.5 MiB
2025-07-07 16:28:17,35.5 MiB
2025-07-07 16:28:18,35.5 MiB
2025-07-07 16:28:19,35.5 MiB
2025-07-07 16:28:20,35.5 MiB
2025-07-07 16:28:21,35.5 MiB
2025-07-07 16:28:22,35.5 MiB
2025-07-07 16:28:23,35.5 MiB
2025-07-07 16:28:24,35.5 MiB
2025-07-07 16:28:25,35.5 MiB
2025-07-07 16:28:26,35.5 MiB
2025-07-07 16:28:27,35.5 MiB
2025-07-07 16:28:28,35.5 MiB
2025-07-07 16:28:29,35.5 MiB
2025-07-07 16:28:30,35.5 MiB
2025-07-07 16:28:31,35.5 MiB
2025-07-07 16:28:32,35.5 MiB
2025-07-07 16:28:33,35.5 MiB
