"Time","{instance=""worker3"", interface=""lxc53e184f941ad""}"
2025-07-07 10:51:15,397 B/s
2025-07-07 10:51:16,390 B/s
2025-07-07 10:51:17,382 B/s
2025-07-07 10:51:18,374 B/s
2025-07-07 10:51:19,366 B/s
2025-07-07 10:51:20,465 B/s
2025-07-07 10:51:21,465 B/s
2025-07-07 10:51:22,465 B/s
2025-07-07 10:51:23,465 B/s
2025-07-07 10:51:24,465 B/s
2025-07-07 10:51:25,465 B/s
2025-07-07 10:51:26,465 B/s
2025-07-07 10:51:27,465 B/s
2025-07-07 10:51:28,465 B/s
2025-07-07 10:51:29,465 B/s
2025-07-07 10:51:30,366 B/s
