"Time","image-filter-cfbfd9b5f-zgrv9"
2025-07-07 10:50:29,0.0140 cores
2025-07-07 10:50:30,0.0140 cores
2025-07-07 10:50:31,0.0106 cores
2025-07-07 10:50:32,0.0106 cores
2025-07-07 10:50:33,0.0106 cores
2025-07-07 10:50:34,0.0106 cores
2025-07-07 10:50:35,0.0106 cores
2025-07-07 10:50:36,0.0106 cores
2025-07-07 10:50:37,0.0106 cores
2025-07-07 10:50:38,0.0106 cores
2025-07-07 10:50:39,0.0106 cores
2025-07-07 10:50:40,0.0106 cores
2025-07-07 10:50:41,0.0106 cores
2025-07-07 10:50:42,0.0106 cores
2025-07-07 10:50:43,0.0106 cores
2025-07-07 10:50:44,0.0106 cores
2025-07-07 10:50:45,0.0106 cores
2025-07-07 10:50:46,0.0106 cores
2025-07-07 10:50:47,0.0106 cores
2025-07-07 10:50:48,0.00776 cores
2025-07-07 10:50:49,0.00776 cores
2025-07-07 10:50:50,0.000826 cores
2025-07-07 10:50:51,0.000848 cores
2025-07-07 10:50:52,0.000869 cores
2025-07-07 10:50:53,0.000891 cores
2025-07-07 10:50:54,0.000912 cores
2025-07-07 10:50:55,0.000934 cores
2025-07-07 10:50:56,0.000955 cores
2025-07-07 10:50:57,0.000977 cores
2025-07-07 10:50:58,0.000998 cores
2025-07-07 10:50:59,0.00102 cores
2025-07-07 10:51:00,0.00104 cores
2025-07-07 10:51:01,0.00106 cores
2025-07-07 10:51:02,0.00108 cores
2025-07-07 10:51:03,0.00110 cores
2025-07-07 10:51:04,0.00108 cores
2025-07-07 10:51:05,0.00110 cores
2025-07-07 10:51:06,0.00110 cores
2025-07-07 10:51:07,0.00110 cores
2025-07-07 10:51:08,0.00110 cores
2025-07-07 10:51:09,0.00110 cores
2025-07-07 10:51:10,0.00110 cores
2025-07-07 10:51:11,0.00110 cores
2025-07-07 10:51:12,0.00110 cores
2025-07-07 10:51:13,0.00110 cores
2025-07-07 10:51:14,0.00110 cores
2025-07-07 10:51:15,0.00110 cores
2025-07-07 10:51:16,0.00110 cores
2025-07-07 10:51:17,0.00110 cores
2025-07-07 10:51:18,0.00103 cores
2025-07-07 10:51:19,0.000798 cores
2025-07-07 10:51:20,0.000798 cores
2025-07-07 10:51:21,0.000798 cores
2025-07-07 10:51:22,0.000798 cores
2025-07-07 10:51:23,0.000798 cores
2025-07-07 10:51:24,0.000798 cores
2025-07-07 10:51:25,0.000798 cores
2025-07-07 10:51:26,0.000798 cores
2025-07-07 10:51:27,0.000798 cores
2025-07-07 10:51:28,0.000798 cores
2025-07-07 10:51:29,0.000798 cores
2025-07-07 10:51:30,0.000798 cores
