"Time","image-stats-746c9bfb67-ttxt9"
2025-07-07 15:21:02,0.000843 cores
2025-07-07 15:21:04,0.000843 cores
2025-07-07 15:21:06,0.000843 cores
2025-07-07 15:21:08,0.000843 cores
2025-07-07 15:21:10,0.000900 cores
2025-07-07 15:21:12,0.000900 cores
2025-07-07 15:21:14,0.000900 cores
2025-07-07 15:21:16,0.000737 cores
2025-07-07 15:21:18,0.000766 cores
2025-07-07 15:21:20,0.000889 cores
2025-07-07 15:21:22,0.000889 cores
2025-07-07 15:21:24,0.000771 cores
2025-07-07 15:21:26,0.000741 cores
2025-07-07 15:21:28,0.000712 cores
2025-07-07 15:21:30,0.000861 cores
2025-07-07 15:21:32,0.000861 cores
2025-07-07 15:21:34,0.000920 cores
2025-07-07 15:21:36,0.000920 cores
2025-07-07 15:21:38,0.000920 cores
2025-07-07 15:21:40,0.000920 cores
2025-07-07 15:21:42,0.000920 cores
2025-07-07 15:21:44,0.000927 cores
2025-07-07 15:21:46,0.000927 cores
2025-07-07 15:21:48,0.000932 cores
2025-07-07 15:21:50,0.000932 cores
2025-07-07 15:21:52,0.000932 cores
2025-07-07 15:21:54,0.000932 cores
2025-07-07 15:21:56,0.000932 cores
2025-07-07 15:21:58,0.000932 cores
2025-07-07 15:22:00,0.000847 cores
2025-07-07 15:22:02,0.000847 cores
2025-07-07 15:22:04,0.000847 cores
2025-07-07 15:22:06,0.000847 cores
2025-07-07 15:22:08,0.000847 cores
2025-07-07 15:22:10,0.000696 cores
2025-07-07 15:22:12,0.000725 cores
2025-07-07 15:22:14,0.000874 cores
2025-07-07 15:22:16,0.000869 cores
2025-07-07 15:22:18,0.000869 cores
2025-07-07 15:22:20,0.000869 cores
2025-07-07 15:22:22,0.000869 cores
2025-07-07 15:22:24,0.000869 cores
2025-07-07 15:22:26,0.000869 cores
2025-07-07 15:22:28,0.000922 cores
2025-07-07 15:22:30,0.000914 cores
2025-07-07 15:22:32,0.000914 cores
2025-07-07 15:22:34,0.000914 cores
